

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256

  1       1       2079.    0.8669    1.3402    -5.7794     0.2259    0.4503   -0.0273
  2       1       2751.    0.9066    1.3127    -5.7867     0.2277    0.4513   -0.3809
  3       1       548.     1.1366    1.5590    -5.2115     0.1754    0.3720    0.3002
  4       1       2695.    1.1525    1.5234    -5.2118     0.1415    0.3533   -0.2351
  5       1       2077.    1.4061    1.7961    -5.6040     0.0949    0.3283   -0.3585
  6       1       2440.    1.4356    1.7990    -5.5786     0.0928    0.2864   -0.0773
  7       1       2706.    0.9100    1.3377    -5.1972     0.3119    0.5048    0.2856
  8       1       3070.    0.8744    1.3161    -5.1501     0.2957    0.4943    0.1065
  9       1       473.     1.0826    1.4928    -5.9691    -0.1426    0.1197   -0.2565
 10       1       1667.    1.1072    1.4346    -5.9523    -0.1333    0.0827   -0.3883
 11       1       3001.    1.0962    1.4727    -5.2118     0.2864    0.5065    0.6224
 12       1       3015.    1.0492    1.4274    -5.2314     0.3167    0.5308    0.2443
 13       1       2197.    1.0849    1.6014    -5.3848     0.1715    0.3621    0.0170
 14       1       2664.    1.0962    1.5461    -5.3432     0.1355    0.3789   -0.2660
 15       1       2430.    1.0467    1.4486    -5.4849     0.0537    0.3745   -0.1586
 16       1       2950.    1.1137    1.4407    -5.5068     0.0803    0.3451    0.0990
 17       1       1730.    1.1386    1.4919    -5.7033     0.1799    0.4197   -0.2284
 18       1       2985.    1.1366    1.4928    -5.7701     0.1774    0.3731   -0.0580
 19       1       1567.    0.7253    1.2343    -5.6394     0.0414    0.2769   -0.2708
 20       1       2620.    0.7793    1.2760    -5.6828     0.0268    0.2930    0.1329
 21       1       2267.    0.7457    1.1486    -5.3960     0.3108    0.4956   -0.0159
 22       1       2662.    0.8018    1.2076    -5.3904     0.2988    0.5244    0.1796
 23       1       226.     1.7885    2.3448    -4.4044     0.2437    0.4680    0.1133
 24       1       1156.    1.8027    2.2766    -4.4318     0.2797    0.4980   -0.2083
 25       1       2328.    1.2439    1.7323    -5.0899     0.0015    0.2584    0.1948
 26       1       2696.    1.2375    1.6587    -5.1203     0.0342    0.2826    0.0611
 27       1       1036.    1.5163    2.0004    -5.2611     0.1534    0.3973   -0.0287
 28       1       3093.    1.5613    1.9511    -5.2275     0.1326    0.3509    0.3066
 29       1       1967.    1.0048    1.4050    -5.3572     0.2069    0.3723    0.2348
 30       1       3005.    0.9523    1.4294    -5.3655     0.1722    0.4393   -0.0472
 31       1       1709.    0.2041    0.5386    -4.9727     0.2174    0.4199    1.1053
 32       1       3039.    0.2212    0.5605    -5.0492     0.2573    0.4530    0.8767
 33       1       2219.    0.6257    1.0492    -5.7455     0.0858    0.3794    0.2098
 34       1       3026.    0.5843    1.0417    -5.6631     0.0835    0.3519    0.0187
 35       1       408.     1.5497    1.9317    -5.1911     0.0309    0.2161    0.1569
 36       1       2346.    1.5778    1.9196    -5.2636     0.0271    0.2728    0.4664
 37       1       1604.    0.9852    1.4594    -5.5933     0.0756    0.3275   -0.2733
 38       1       2311.    0.9508    1.4216    -5.5240     0.0295    0.3353   -0.1255
 39       1       2432.    0.6513    1.1346    -5.3880     0.1395    0.4351    0.1000
 40       1       2510.    0.7038    1.1918    -5.3814     0.1862    0.3927   -0.0958
 41       1       1085.    0.7604    1.2833    -4.2292     0.1906    0.3452    1.4822
 42       1       1141.    0.8396    1.3031    -4.2400     0.1549    0.3908    0.9545
 43       1       594.     1.1426    1.4294    -5.3074     0.4189    0.5881   -0.0595
 44       1       1559.    1.1006    1.5103    -5.2600     0.4307    0.5758   -0.0173
 45       1       2315.    0.9794    1.2862    -5.1644     0.2786    0.4961    0.2204
 46       1       2482.    1.0757    1.5513    -5.3782     0.0176    0.2240    0.1206
 47       1       2600.    0.9909    1.5025    -5.3730     0.0542    0.2349    0.1399
 48       1       1385.    1.1846    1.7141    -4.0253     0.4472    0.6390    0.5583
 49       1       2929.    1.1486    1.6310    -4.0730     0.4622    0.6597    0.7720
 50       1       2541.    1.5540    1.9512    -5.2439    -0.0570    0.2212    0.0795
 51       1       2387.    1.1137    1.6231    -4.6542     0.2843    0.4531    0.5867
 52       1       2450.    1.0757    1.6617    -4.5629     0.2833    0.4707    0.8790
 53       1       1661.    1.1263    1.5643    -5.2821     0.2248    0.4930   -0.3947
 54       1       2101.    1.1545    1.4801    -5.2746     0.2838    0.5080   -0.3179
 55       1       2852.    1.0962    1.5222    -4.2906     0.4836    0.6330    0.8236
 56       1       3003.    1.0315    1.5756    -4.2548     0.4252    0.6546    0.4512
 57       1       2111.    1.1772    1.4632    -5.3402     0.0858    0.2466    0.0871
 58       1       3109.    1.1325    1.5378    -5.2910     0.0379    0.2533    0.0813
 59       1       795.     1.3286    1.7667    -5.4406     0.0263    0.2915    0.0473
 60       1       2093.    1.3017    1.7643    -5.4701    -0.0406    0.2123   -0.0083
 61       1       130.     1.5288    1.7921    -4.4115     0.2235    0.4419    0.5401
 62       1       1676.    1.4883    1.7226    -4.4516     0.2815    0.4760    1.0208
 63       1       398.     1.0157    1.4082    -5.2255     0.1891    0.4171    0.2340
 64       1       563.     0.9365    1.3527    -5.1768     0.1705    0.3880    0.2755
 65       1       1197.    0.9735    1.3756    -5.4836    -0.0794    0.1734    0.0741
 66       1       2452.    1.0157    1.3613    -5.3803    -0.0823    0.1913   -0.0031
 67       1       1561.    0.9268    1.3552    -5.7662     0.0860    0.3961   -0.0921
 68       1       3120.    0.9852    1.2753    -5.7137     0.1124    0.4051    0.0599
 69       1       2700.    1.5138    1.7628    -4.6405     0.2719    0.4989    0.6082
 70       1       2790.    1.4746    1.6556    -4.6582     0.2749    0.5058    0.5405
 71       1       2500.    1.5929    1.8507    -4.9865     0.1329    0.3652    0.0934
 72       1       3076.    1.6283    1.9251    -4.9867     0.0602    0.3235    0.1433
 73       1       3055.    1.2847    1.6090    -5.0757     0.0559    0.2438    0.2494
 74       1       2569.    0.9461    1.3744    -5.7921    -0.0172    0.3099    0.0111
 75       1       3129.    0.9461    1.3038    -5.8480     0.0558    0.3351   -0.1959
 76       1       3040.    1.0467    1.4147    -5.5018     0.1566    0.4113    0.2225
 77       1       2925.    0.8781    1.2343    -5.7491     0.1732    0.4110    0.1136
 78       1       1740.    1.5095    1.8036    -5.5810     0.4662    0.6396   -0.0841
 79       1       2419.    1.5205    1.8823    -5.5151     0.5288    0.6275   -0.2596
 80       1       2589.    1.4924    1.7479    -5.7747    -0.1151    0.2307   -0.1397
 81       1       3135.    1.5374    1.6924    -5.8592    -0.0990    0.1832   -0.1308
 82       1       3011.    1.3661    1.6960    -4.9991     0.6437    0.8072    0.2266
 83       1       3029.    1.3003    1.6507    -5.0513     0.7173    0.8228   -0.1403
 84       1       1449.    1.3552    1.5213    -5.3228     0.0580    0.3041    0.1667
 85       1       1628.    1.3490    1.5636    -5.2163     0.0697    0.3432    0.1480
 86       1       1086.    1.0940    1.3540    -6.0942     0.0076    0.3321   -0.4908
 87       1       2204.    1.0492    1.3625    -5.9965     0.0661    0.3321   -0.1427
 88       1       1303.    0.8996    1.3273    -4.8435     0.4110    0.6809   -0.0814
 89       1       2106.    0.8961    1.4158    -4.9002     0.4300    0.6199    0.1937
 90       1       2697.    0.6754    1.1366    -5.3891     0.0565    0.3807    0.0973
