Title: Arak Liban transposed
 15 20 SUPNO 14 6 8 KA SA KH MO TO GA KS BA SE RE AK HA DE EX MA ME BR ES KE LI
QNA 49 39 51 86 21 27 45 77 69 79 68 72 83 68 57 79    79    82    74    79
QLT 10  9  1  3  4  3  1  2  2  1  4  6  2  0  0  2     2     1     3     2
QEQ 27 43 26  2 16 26  7 12 15  8 11 10  6  2 10  5     3     5     4     8
QGE  6  1  8  1 36 27 14  1  6  4  9  4  1  7 18  5     3     4     8     3
QGT  0  0  6  0 15  9 25  0  0  0  0  0  0 15  7  1     5     0     3     0
AUN 49 39 51 86 21 27 45 77 69 79 68 72 83 68 57 79    79    82    74    79
ALT 10  9  1  3  4  3  1  2  2  1  4  6  2  2  2  2     2     1     3     2
AEQ 27 43 26  2 16 26  7 12 15  8 11 10  6  7 10  5     3     5     4     8
AGE  6  1  8  1 36 27 14  1  6  4  9  4  1 15 18  5     3     4     8     3
AGT  0  0  6  0 15  9 25  0  0  0  0  0  0  0  7  1     5     0     3     0
PUN 52 43 52 86 22 28 48 78 69 80 67 72 84 68 57 80    79    84    75    79
PLT  6  9  8  1  4 10  6  3  4  4  3  7  2  2  2  0     0     0     1     2
PEQ 29 35 24  5 46 45  6  9 15  7 20 10  6  3 17  6     4     7    10    11
PGE  5  4  7  0 16  7 18  2  4  1  2  3  0 14 12  3     3     1     6     0
PGT  0  1  1  0  4  2 14  0  0  0  0  0  0  5  4  3     6     0     0     0
