Mandibles 77 canines in 5 types, crossed by 9 characteristics: p. 436, Cahiers, 1993 (4).
67 9 SUPR 7 6 Mnd	MndB	Cndl	MndH	molL	molB	mol3	prm4	canB SUPP
Ta	1234	101	231	228	192	78	322	330	56 1
Tb	1274	96	190	219	192	78	322	404	58 1
Tc	1211	102	178	210	206	79	345	375	62 1
Td	1301	107	241	224	201	79	324	368	59 1
Te	1486	120	250	252	208	84	347	427	66 1
Tf	1250	95	233	203	204	78	333	369	63 1
Tg	1262	91	197	215	192	75	318	347	55 1
Th	1252	97	188	192	191	75	323	367	62 1
tA	1208	96	218	196	185	76	305	351	53 1
tB	1222	89	203	199	189	76	305	352	57 1
tC	1145	93	190	189	199	78	326	340	65 1
tD	1115	91	194	198	187	66	298	330	51 1
tE	1244	93	213	207	181	71	297	355	55 1
tF	1281	96	224	210	190	75	322	380	58 1
tG	1304	84	229	197	190	73	311	399	58 1
tH	1273	105	250	225	195	87	322	349	61 1
Ja	1200	82	181	173	181	70	320	347	52 1
Jb	1068	79	166	165	197	70	321	336	53 1
Jc	1100	81	176	160	190	71	307	325	47 1
Jd	1156	85	200	183	180	71	315	331	47 1
Je	1136	82	187	181	188	79	315	330	51 1
Jf	1110	85	190	164	181	71	300	327	50 1
Jg	1129	85	173	176	185	71	300	336	46 1
Jh	1165	87	202	167	183	70	299	343	52 1
Ji	1136	94	210	185	187	75	311	348	53 1
Jj	1119	82	190	168	185	68	297	340	51 1
jA	1095	85	183	169	192	70	311	332	49 1
jB	1113	77	199	182	180	67	297	319	45 1
jC	1069	72	165	160	175	60	280	350	47 1
jD	1080	82	184	162	175	65	287	325	48 1
jE	1095	73	192	155	174	61	298	333	45 1
jF	1046	83	186	169	172	65	292	324	45 1
jG	1069	84	180	169	177	62	286	310	43 1
jH	1055	78	189	184	181	62	306	316	44 1
jI	1112	84	166	159	182	70	303	340	47 1
jJ	1110	76	187	165	178	65	299	348	46 1
Ha	1668	115	290	279	253	95	405	452	72 1
Hb	1643	123	270	260	253	100	416	473	79 1
Hc	1495	115	214	235	246	93	413	455	85 1
Hd	1455	113	280	238	243	92	355	412	72 1
He	1768	124	313	266	273	105	429	498	79 1
Hf	1658	134	317	265	255	95	403	470	73 1
Hg	1636	121	271	243	250	99	421	445	83 1
Hh	1651	126	295	255	247	77	399	434	79 1
hA	1311	118	199	235	228	88	377	404	65 1
hB	1630	108	270	240	240	92	390	477	70 1
hC	1640	107	244	232	255	95	425	471	76 1
hD	1409	104	197	225	227	89	383	429	60 1
hE	1482	106	260	210	235	89	389	395	70 1
hF	1577	107	253	249	242	98	408	450	74 1
xa	1120	101	170	182	190	77	307	331	58 1
xb	1150	100	179	225	195	78	330	360	60 1
xc	1360	119	224	250	212	85	362	387	70 1
xd	1111	99	187	201	175	73	285	335	53 1
xe	1304	112	225	274	200	91	352	353	66 1
xf	1249	107	190	261	195	84	333	370	63 1
xg	1325	96	192	202	187	97	348	379	66 1
xh	1210	107	205	230	193	79	320	349	60 1
xg	1215	98	218	230	185	79	322	352	61 1
xh	1235	95	201	243	187	76	315	365	60 1
supT    10270   809  1708  1743  1586   626  2634  2987   481 0
supt     9792  747 1721 1621 1516  602 2486 2856  458 0
supC    11319   842  1875  1722  1857   716  3085  3363   502 0
supc    10844   794  1831  1674  1786   647  2959  3297   459 0
supH    12974   971  2250  2041  2020   756  3241  3639   622 0
suph     9049  650 1423 1391 1427  551 2372 2626  415 0
supp    12279  1034  1991  2298  1919   819  3274  3581   617 0
