Egyptian skulls: p. 444, Cahiers 1993 (4).
155 4 SUPR 3 10 3	Br	Hh	Ba	Ns  SUPP
a1	131	138	89	49 1
a2	125	131	92	48 1
a3	131	132	99	50 1
a4	119	132	96	44 1
a5	136	143	100	54 1
a6	138	137	89	56 1
a7	139	130	108	48 1
a8	125	136	93	48 1
a9	131	134	102	51 1
a10	134	134	99	51 1
a11	129	138	95	50 1
a12	134	121	95	53 1
a13	126	129	109	51 1
a14	132	136	100	50 1
a15	141	140	100	51 1
a16	131	134	97	54 1
a17	135	137	103	50 1
a18	132	133	93	53 1
a19	139	136	96	50 1
a20	132	131	101	49 1
a21	126	133	102	51 1
a22	135	135	103	47 1
a23	134	124	93	53 1
a24	128	134	103	50 1
a25	130	130	104	49 1
a26	138	135	100	55 1
a27	128	132	93	53 1
a28	127	129	106	48 1
a29	131	136	114	54 1
a30	124	138	101	46 1
b31	124	138	101	48 1
b32	133	134	97	48 1
b33	138	134	98	45 1
b34	148	129	104	51 1
b35	126	124	95	45 1
b36	135	136	98	52 1
b37	132	145	100	54 1
b38	133	130	102	48 1
b39	131	134	96	50 1
b40	133	125	94	46 1
b41	133	136	103	53 1
b42	131	139	98	51 1
b43	131	136	99	56 1
b44	138	134	98	49 1
b45	130	136	104	53 1
b46	131	128	98	45 1
b47	138	129	107	53 1
b48	123	131	101	51 1
b49	130	129	105	47 1
b50	134	130	93	54 1
b51	137	136	106	49 1
b52	126	131	100	48 1
b53	135	136	97	52 1
b54	129	126	91	50 1
b55	134	139	101	49 1
b56	131	134	90	53 1
b57	132	130	104	50 1
b58	130	132	93	52 1
b59	135	132	98	54 1
b60	130	128	101	51 1
c61	137	141	96	52 1
c62	129	133	93	47 1
c63	132	138	87	48 1
c64	130	134	106	50 1
c65	134	134	96	45 1
c66	140	133	98	50 1
c67	138	138	95	47 1
c68	136	145	99	55 1
c69	136	131	92	46 1
c70	126	136	95	56 1
c71	137	129	100	53 1
c72	137	139	97	50 1
c73	136	126	101	50 1
c74	137	133	90	49 1
c75	129	142	104	47 1
c76	135	138	102	55 1
c77	129	135	92	50 1
c78	134	125	90	60 1
c79	138	134	96	51 1
c80	136	135	94	53 1
c81	132	130	91	52 1
c82	133	131	100	50 1
c83	138	137	94	51 1
c84	130	127	99	45 1
c85	136	133	91	49 1
c86	134	123	95	52 1
c87	136	137	101	54 1
c88	133	131	96	49 1
c89	138	133	100	55 1
c90	138	133	91	46 1
d91	137	134	107	54 1
d92	141	128	95	53 1
d93	141	130	87	49 1
d94	135	131	99	51 1
d95	133	120	91	46 1
d96	131	135	90	50 1
d97	140	137	94	60 1
d98	139	130	90	48 1
d99	140	134	90	51 1
d100	138	140	100	52 1
d101	132	133	90	53 1
d102	134	134	97	54 1
d103	135	135	99	50 1
d104	133	136	95	52 1
d105	136	130	99	55 1
d106	134	137	93	52 1
d107	131	141	99	55 1
d108	129	135	95	47 1
d109	136	128	93	54 1
d110	131	125	88	48 1
d111	139	130	94	53 1
d112	144	124	86	50 1
d113	141	131	97	53 1
d114	130	131	98	53 1
d115	133	128	92	51 1
d116	138	126	97	54 1
d117	131	142	95	53 1
d118	136	138	94	55 1
d119	132	136	92	52 1
d120	135	130	100	51 1
e121	137	123	91	50 1
e122	136	131	95	49 1
e123	128	126	91	57 1
e124	130	134	92	52 1
e125	138	127	86	47 1
e126	126	138	101	52 1
e127	136	138	97	58 1
e128	126	126	92	45 1
e129	132	132	99	55 1
e130	139	135	92	54 1
e131	143	120	95	51 1
e132	141	136	101	54 1
e133	135	135	95	56 1
e134	137	134	93	53 1
e135	142	135	96	52 1
e136	139	134	95	47 1
e137	138	125	99	51 1
e138	137	135	96	54 1
e139	133	125	92	50 1
e140	145	129	89	47 1
e141	138	136	92	46 1
e142	131	129	97	44 1
e143	143	126	88	54 1
e144	134	124	91	55 1
e145	132	127	97	52 1
e146	137	125	85	57 1
e147	129	128	81	52 1
e148	140	135	103	48 1
e149	147	129	87	48 1
e150	136	133	97	51 1
sup1 3941 4008 2975 1516 0
sup2 3971 3981 2972 1507 0
sup3 4034 4014 2881 1517 0
sup4 4065 3969 2836 1559 0
sup5 4085 3910 2805 1541 0
