Sparrows - 1:21 survived, the remaining 28 died: pp 450-454, Cahiers 1993 (4).
51 5 SUPR 7 7  X1	X2	X3	X4	X5  SUPP
s1	1560	2450	316	185	205 1
s2	1540	2400	304	179	196 1
s3	1530	2400	310	184	206 1
s4	1530	2360	309	177	202 1
s5	1550	2430	315	186	203 1
s6	1630	2470	320	190	209 1
s7	1570	2380	309	184	202 1
s8	1550	2390	328	186	212 1
s9	1640	2480	327	191	211 1
s10	1580	2380	310	188	220 1
s11	1580	2400	313	186	220 1
s12	1600	2440	311	186	205 1
s13	1610	2460	323	193	218 1
s14	1570	2450	320	191	200 1
s15	1570	2350	315	181	198 1
s16	1560	2370	309	180	203 1
s17	1580	2440	314	185	216 1
s18	1530	2380	305	182	209 1
s19	1550	2360	303	185	201 1
s20	1630	2460	325	186	219 1
s21	1590	2360	315	180	215 1
s22	1550	2400	314	180	207 1
s23	1560	2400	315	182	206 1
s24	1600	2420	326	188	217 1
s25	1520	2320	303	172	198 1
s26	1600	2500	317	188	225 1
s27	1550	2370	310	185	200 1
s28	1570	2450	322	195	214 1
s29	1650	2450	331	198	227 1
s30	1530	2310	301	173	198 1
s31	1620	2390	303	180	231 1
s32	1620	2430	316	188	213 1
s33	1590	2450	318	185	217 1
s34	1590	2470	309	181	190 1
s35	1550	2430	309	185	213 1
s36	1620	2520	319	191	222 1
s37	1520	2300	304	173	186 1
s38	1590	2420	308	182	205 1
s39	1550	2380	312	179	193 1
s40	1630	2490	334	195	228 1
s41	1630	2420	310	181	207 1
s42	1560	2370	317	182	203 1
s43	1590	2380	315	184	203 1
s44	1610	2450	321	191	208 1
s45	1550	2350	307	177	196 1
s46	1620	2470	319	191	204 1
s47	1530	2370	306	186	204 1
s48	1620	2450	325	185	211 1
s49	1640	2480	323	188	209 1
m21  33050 50610  6601  3885  4370 0
m28  44360 67640  8814  5165  5835 0

