	   LGDW60	   LGDW70	   LGDW80	   M260	   M270	   M280	   SEC50	   SEC60	   SEC70	   STRD60	   STRD70	   STRD80	SRV6070	SRV7080	SRV80S
ALB	0	0	0	0	0	0	0	20.000 	35.000 	0	0	0	0.00 	0.00 	0.00 
AUT	9.1401 	9.6916 	9.9801 	0.43323 	0.57233 	0.76912 	0.31820 	50.000 	72.000 	31.750 	44.780 	99.360 	0.02 	0.02 	0.01 
BEL	9.5116 	9.9517 	10.173 	0.47126 	0.46153 	0.45709 	0.35090 	69.000 	81.000 	49.910 	70.850 	167.68 	0.00 	0.00 	0.01 
BGR	0	0	0	0	0	0	0	55.000 	79.000 	0	0	0	0.00 	0.00 	0.00 
CHE	9.9002 	10.191 	10.292 	1.0690 	1.1518 	1.0769 	0.20000 	26.000 	0.000 	33.230 	47.250 	114.22 	0.00 	0.00 	0.00 
CSK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.53166 	0.00000 	25.000 	31.000 	0.000 	0.000 	0.000 	0.00 	0.00 	0.00 
CYP	8.5116 	9.1656 	9.4238 	0.0000 	0.0000 	0.65920 	0.25180 	47.000 	0.000 	0.000 	0.000 	85.120 	0.00 	0.00 	0.00 
DDR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.00000 	0.00000 	39.000 	92.000 	0.000 	0.000 	0.000 	0.00 	0.00 	0.00 
DEU	9.4561 	9.8797 	10.081 	0.37825 	0.49211 	0.54356 	0.52320 	53.000 	36.000 	26.280 	38.310 	83.960 	0.03 	0.02 	0.02 
DNK	9.4665 	9.7824 	9.8810 	0.50392 	0.45846 	0.44943 	0.65000 	65.000 	78.000 	44.260 	52.020 	100.56 	0.00 	0.00 	0.01 
ESP	8.8697 	9.5966 	9.8462 	0.55021 	0.73660 	0.80100 	0.15040 	23.000 	56.000 	7.9300 	14.800 	36.740 	0.00 	0.00 	0.00 
FIN	9.2424 	9.6289 	9.9042 	0.41027 	0.42595 	0.42268 	0.31160 	74.000 	102.00 	35.280 	43.010 	88.860 	0.02 	0.02 	0.02 
FRA	9.4228 	9.9077 	10.143 	0.35193 	0.43349 	1.0564 	0.19400 	46.000 	74.000 	20.990 	25.900 	61.250 	0.00 	-0.10 	0.03 
GBR	9.5300 	9.7656 	9.9225 	0.40301 	0.34776 	0.32332 	0.45080 	66.000 	73.000 	31.180 	32.110 	63.730 	0.00 	-0.03 	0.03 
GRC	8.4440 	9.1889 	9.5751 	0.28021 	0.44503 	0.55290 	0.32610 	37.000 	63.000 	19.090 	21.890 	46.370 	0.05 	0.02 	0.00 
HUN	0.0000 	8.6343 	9.2339 	0.00000 	0.00000 	0.00000 	0.00000 	23.000 	63.000 	0.000 	28.420 	41.160 	0.00 	0.00 	0.00 
IRL	9.0047 	9.4547 	9.7233 	0.65389 	0.58999 	0.49980 	0.26440 	35.000 	74.000 	43.790 	55.930 	130.72 	0.00 	0.03 	0.00 
ISL	9.5216 	9.6931 	10.046 	0.38587 	0.39375 	0.25829 	0.46070 	61.000 	80.000 	84.220 	83.740 	113.38 	0.00 	0.00 	0.05 
ITA	9.2684 	9.7849 	10.154 	0.52273 	0.76482 	0.79004 	0.18960 	34.000 	61.000 	14.450 	22.330 	44.670 	0.00 	0.01 	0.01 
LUX	9.7191 	10.055 	10.205 	0.00000 	0.00000 	1.0517 	0.16030 	29.000 	48.000 	118.54 	141.67 	245.68 	0.00 	0.03 	0.02 
MLT	8.5660 	8.9788 	9.5273 	1.2022 	1.4382 	1.1834 	0.05110 	21.000 	50.000 	98.910 	73.990 	151.19 	0.00 	0.00 	0.00 
NLD	9.6643 	10.065 	10.224 	0.57241 	0.58843 	0.70154 	0.33610 	58.000 	75.000 	54.020 	68.130 	147.35 	0.00 	0.00 	0.00 
NOR	9.5370 	9.8382 	10.124 	0.58291 	0.58464 	0.55613 	0.27180 	57.000 	83.000 	65.620 	81.160 	126.14 	-0.01 	0.00 	0.01 
POL	0.0000 	0.0000 	9.0047 	0.00000 	0.00000 	0.61572 	0.00000 	50.000 	62.000 	0.000 	0.000 	27.740 	0.00 	0.00 	0.00 
PRT	8.3563 	8.9611 	9.2360 	0.71212 	0.93656 	1.0986 	0.07330 	0.000 	57.000 	21.590 	32.190 	50.460 	0.00 	0.00 	0.00 
ROM	0.0000 	0.0000 	0.0000 	0.00000 	0.00000 	0.35388 	0.00000 	24.000 	44.000 	0.000 	0.000 	0.00 	0.00 	0.00 	0.00 
SWE	9.6038 	9.9044 	9.9887 	0.52739 	0.49047 	0.48680 	0.46790 	55.000 	86.000 	40.970 	52.850 	101.54 	0.00 	0.00 	0.01 
TUR	8.0980 	8.5252 	8.8609 	0.21298 	0.30621 	0.21842 	0.04940 	14.000 	27.000 	5.5600 	5.8100 	11.060 	0.01 	0.01 	0.02 
TZA	6.2025 	6.5709 	6.9078 	0.00000 	0.24197 	0.41597 	0.01200 	2.0000 	3.0000 	34.260 	31.310 	25.670 	0.01 	-0.02 	0.00 
YUG	8.2217 	8.7808 	9.2417 	0.44990 	0.60590 	0.68435 	0.00000 	58.000 	63.000 	35.120 	24.780 	36.430 	0.00 	0.00 	0.00 
