15 New Jersey Congressmen: agreements in voting attitudes.
15 15 SUPNO 7 7 7 HUN SAN How Tho FRE FOR WID Roe Hel Rod Min RIN MAR Dan Pat
HUN  19 11  4  4  9 10 12  4  3  5  4  3 12  8  6	
SAN  11 19  2  7  6  6  7  3  2  4  3  2  6  7 13	
How   4  2 19 10  3  7  4 14 14 13 14 15  8  9 12	
Tho   4  7 10 19  5  7  6  9 11 11 11 13  4  9 12	
FRE   9  6  3  5 19 11 10  6  5  7  7  7  9  8  8	
FOR  10  6  7  7 11 19 12  7  8  9 10  9 13 13  9	
WID  12  7  4  6 10 12 19  2  3  4  5  4  9  8  6	
Roe   4  3 14  9  6  7  2 19 15 14 14 16  7 12 13	
Hel   3  2 14 11  5  8  3 15 19 16 17 18  6 12 14	
Rod   5  4 13 11  7  9  4 14 16 19 18 17  8 15 13	
Min   4  3 14 11  7 10  5 14 17 18 19 18  7 14 14 	
RIN   3  2 15 13  7  9  4 16 18 17 18 19  7 13 15	
MAR  12  6  8  4  9 13  9  7  6  8  7  7 19 10  6	
Dan   8  7  9  9  8 13  8 12 12 15 14 13 10 19 10	
Pat   6 13 12 12  8  9  6 13 14 13 14 15  6 10 19	
