Marketing: p. 455, Cahiers 1993 (4). 
26 9 SUPNO 7 7 7 AGR  MIN  MAN  PS  CON  SER  FIN  SPS  TC
B	33	9	276	9	82	191	62	266	72
DK	92	1	218	6	83	146	65	322	71
F	108	8	275	9	89	168	60	226	57
BRD	67	13	358	9	73	144	50	223	61
IRL	232	10	207	13	75	168	28	208	61
I	159	6	276	5	100	181	16	201	57
LUX	77	31	308	8	92	185	46	192	62
NL	63	1	225	10 	99 	180	68	285	68
UK	27	14	302	14	69	169	57	283	64
A	127	11	302	14	90	168	49	168	70
FIN	130	4	259	13	74	147	55	243	76
GR	414	6	176	6	81	115	24	110	67
N	90	5	224	8	86	169	47	276	94
P	278	3	245	6	84	133	27	167	57
E	229	8	285	7	115	97	85	118	55
S	61	4	259	8	72	144	60	324	68
CH	77	2	378	8	95	175	53	154	57
T	668	7	79	1	28	52	11	119	32
BG	236	19	323	6	79	80	7	182	67
CZ	165	29	355	12	87	92	9	179	70
DDR	42	29	412	13	76	112	12	221	84
H	217	31	296	19	82	94	9	172	80
PL	311	25	257	9	84	75	9	161	69
ROM	347	21	301	6	87	59	13	117	50
CCCP	237	14	258	6	92	61	5	236	93
YU	487	15	168	11	49	64	113	53	40
