Marketing: pp. 455-460, Cahiers 1993 (4).
26 7 SUPR 6 7 4	AGR  MIN  MAN  PS  CON  TER TC  SUPP
B	33	9	276	9	82  519	72  1
DK	92	1	218	6	83  533	71  1
F	108	8	275	9	89  454	57  1
BRD	67	13	358	9	73  417	61  1
IRL	232	10	207	13	75  404	61  1
I	159	6	276	5	100 398	57  1
LUX	77	31	308	8	92  423	62  1
NL	63	1	225	10 	99  533 68  1
UK	27	14	302	14	69  509	64  1
A	127	11	302	14	90  385	70  1
FIN	130	4	259	13	74  445	76  1
GR	414	6	176	6	81  249	67  1
N	90	5	224	8	86  492	94  1
P	278	3	245	6	84  327	57  1
E	229	8	285	7	115 300	55  1
S	61	4	259	8	72  528	68  1
CH	77	2	378	8	95  382	57  1
T	668	7	79	1	28  182	32  0
BG	236	19	323	6	79  269	67  1
CZ	165	29	355	12	87  280	70  1
DDR	42	29	412	13	76  345	84  1
H	217	31	296	19	82  275	80  1
PL	311	25	257	9	84  245	69  1
ROM	347	21	301	6	87  189	50  1
CCCP	237	14	258	6	92  302	93  1
YU	487	15	168	11	49  230	40  1
