Marketing: pp. 455-460, Cahiers 1993 (4).
26 7 SUPR 6 7 4	AGR  MIN  MAN  PS  CON  TER TC  SUPP
B	33	9	276	9	82  519	72  1
DK	92	1	218	6	83  533	71  1
F	108	8	275	9	89  454	57  1
BRD	201	39	1074	27     219 1251	183  1
IRL	232	10	207	13	75  404	61  1
I	795	30	1380	25	500 1990 285  1
LUX	77	31	308	8	92  423	62  1
NL	63	1	225	10 	99  533 68  1
UK	135	70	1510	70	345 2545 320  1
A	127	11	302	14	90  385	70  1
FIN	130	4	259	13	74  445	76  1
GR	414	6	176	6	81  249	67  1
N	90	5	224	8	86  492	94  1
P	278	3	245	6	84  327	57  1
E	687	24	855	21	345 900	165  1
S	61	4	259	8	72  528	68  1
CH	77	2	378	8	95  382	57  1
T	668	7	79	1	28  182	32  0
BG	236	19	323	6	79  269	67  1
CZ	165	29	355	12	87  280	70  1
DDR	126	87	1236	39      228 1035  252  1
H	217	31	296	19	82  275	80  1
PL	933	75	771	27	252  735 207  1
ROM	694	42	602	12	174  378  100  1
CCCP	2370	140	2580	60	920  3020 930  1
YU	487	15	168	11	49  230	40  1
