Marketing: pp. 455-460, Cahiers 1993 (4).
26 6 SUPR 5 6 4	AGR   MAN  PS  CON  TER TC  SUPP
B	33	276	9	82  519	72  1
DK	92	218	6	83  533	71  1
F	108	275	9	89  454	57  1
BRD	201	1074	27     219 1251	183  1
IRL	232	207	13	75  404	61  1
I	795	1380	25	500 1990 285  1
LUX	77	308	8	92  423	62  1
NL	63	225	10 	99  533 68  1
UK	135	1510	70	345 2545 320  1
A	127	302	14	90  385	70  1
FIN	130	259	13	74  445	76  1
GR	414	176	6	81  249	67  1
N	90	224	8	86  492	94  1
P	278	245	6	84  327	57  1
E	687	855	21	345 900	165  1
S	61	259	8	72  528	68  1
CH	77	378	8	95  382	57  1
T	668	79	1	28  182	32  0
BG	236	323	6	79  269	67  1
CZ	165	355	12	87  280	70  1
DDR	126	1236	39      228 1035  252  1
H	217	296	19	82  275	80  1
PL	933	771	27	252  735 207  1
ROM	694	602	12	174  378  100  1
CCCP	2370	2580	60	920  3020 930  1
YU	487	168	11	49  230	40  1
