Employement and protein consumption data, Cahiers 1993 (4). 
24 19 SUPC 7 7 7 AGR MIN MAN PS CON SER FIN SPS TC Bov Prk Ova Lac Fsh Wht Str Nux Vgt TER
B    33  9 276  9  82 191  62 266  72  135  93  41  175  45 266  57  21  40 82
DK   92  1 218  6  83 146  65 322  71  106 108  37  250  99 219  48   7  24 83
F   108  8 275  9  89 168  60 226  57  180  99  33  195  57 281  48  24  65 89
BRD  67	13 358  9  73 144  50 223  61  114 125  41  188  34 186  52  15  38 73
IRL 232	10 207 13  75 168  28 208  61  139 100  47  258  22 240  62  16  29 75
I  159  6 276  5  100 181  16 201  57   90  51  29  137  34 368  21  43  67 100
NL   63	 1 225 10  99 180  68 285  68   95 136  36  234  25 224 42   18  37 99
UK   27	14 302 14  69 169  57 283  64   174 57  47  206  43 243  47  34  33 69
A   127	11 302 14 90 168  49 168  70  89 140  43 199  21 280  36  13  43 90
FIN 130	 4  259 13  74 147  55 243  76  95  49  27  337  58  263 51 10  14 74
GR  414	 6 176 6  81 115  24  110  67  102  30  28  176  59  417  22  78  65 81
N    90	 5 224 8  86 169  47 276  94   94   47  27  233  97  230  46  16  27 86
P   278  3 245 6  84 133  27 167  57   62   37  11   49 142  270  59  47  79 84
E  229	8 285 7 115  97  85 118  55   71   34  31   86  70  292  57  59  72 115
S    61	 4 259 8  72 144  60 324  68   99   78  35  247  75  195  37  14  20 72
CH   77	 2 378 8  95 175  53 154  57  131  101  31  238  23  256  28  24  49 95
BG  236	19 323  6  79  80   7  182  67  78  60  16  83  12  567  11  37  42 79
CZ  165	29 355  12  87  92   9  179  70  97 114  28 125  20  343  50  11  40 87
DDR  42	29 412  13  76 112  12  221  84  84 116  37 111  54  246  65   8  36 76
H   217	31 296  19  82  94   9  172  80  53 124  29  97   3  401  40  54  42 82
PL  311	25 257   9  84  75   9  161  69  69 102  27 193  30  361  59  20  66 84
ROM 347	21 301   6  87  59  13  117  50  62  63  15 111  10  496  31  53  28 87
CCCP 237 14 258  6  92  61   5  236  93  93  46  21 166  30  436  64  34  29 92
YU  487	15 168  11  49  64 113   53  40  44  50  12  95   6  559  30  57  32 49
SUP  1   1  1   1   1   0   0    0    1   1   1   1   1   1   1   1   1   1   1
