Mandibles 77 canines in 5 types, crossed by 9 characteristics: Cahiers, p. 435, 1993 (4).
77 9 SUPNO 9 12 5 Mnd	MndB	Cndl	MndH	molL	molB	mol3	prm4	canB
Ta	1234	101	231	228	192	78	322	330	56
Tb	1274	96	190	219	192	78	322	404	58
Tc	1211	102	178	210	206	79	345	375	62
Td	1301	107	241	224	201	79	324	368	59
Te	1486	120	250	252	208	84	347	427	66
Tf	1250	95	233	203	204	78	333	369	63
Tg	1262	91	197	215	192	75	318	347	55
Th	1252	97	188	192	191	75	323	367	62
tA	1208	96	218	196	185	76	305	351	53
tB	1222	89	203	199	189	76	305	352	57
tC	1145	93	190	189	199	78	326	340	65
tD	1115	91	194	198	187	66	298	330	51
tE	1244	93	213	207	181	71	297	355	55
tF	1281	96	224	210	190	75	322	380	58
tG	1304	84	229	197	190	73	311	399	58
tH	1273	105	250	225	195	87	322	349	61
Ja	1200	82	181	173	181	70	320	347	52
Jb	1068	79	166	165	197	70	321	336	53
Jc	1100	81	176	160	190	71	307	325	47
Jd	1156	85	200	183	180	71	315	331	47
Je	1136	82	187	181	188	79	315	330	51
Jf	1110	85	190	164	181	71	300	327	50
Jg	1129	85	173	176	185	71	300	336	46
Jh	1165	87	202	167	183	70	299	343	52
Ji	1136	94	210	185	187	75	311	348	53
Jj	1119	82	190	168	185	68	297	340	51
jA	1095	85	183	169	192	70	311	332	49
jB	1113	77	199	182	180	67	297	319	45
jC	1069	72	165	160	175	60	280	350	47
jD	1080	82	184	162	175	65	287	325	48
jE	1095	73	192	155	174	61	298	333	45
jF	1046	83	186	169	172	65	292	324	45
jG	1069	84	180	169	177	62	286	310	43
jH	1055	78	189	184	181	62	306	316	44
jI	1112	84	166	159	182	70	303	340	47
jJ	1110	76	187	165	178	65	299	348	46
Ca	1230	97	218	207	202	78	269	361	61
Cb	1353	118	249	212	227	89	305	376	71
Cc	1382	114	254	250	224	90	295	375	73
Cd	1413	108	260	247	213	81	286	391	66
Ce	1347	112	250	245	212	85	286	392	67
Cf	1358	110	221	243	216	81	314	393	68
Cg	1311	104	229	231	225	87	298	361	68
Ch	1373	106	254	238	213	83	280	378	65
Ci	1350	105	250	245	210	84	286	392	69
cA	1307	109	245	240	210	85	293	349	62
cB	1297	113	223	231	211	87	292	365	70
cC	1440	108	242	259	222	89	296	420	71
cD	1385	109	256	232	217	87	295	392	69
cE	1230	98	232	222	197	81	261	340	56
cF	1371	113	267	256	225	87	298	388	65
cG	1279	100	216	227	218	87	286	370	66
cH	1218	99	221	217	200	82	264	360	57
Ha	1668	115	290	279	253	95	405	452	72
Hb	1643	123	270	260	253	100	416	473	79
Hc	1495	115	214	235	246	93	413	455	85
Hd	1455	113	280	238	243	92	355	412	72
He	1768	124	313	266	273	105	429	498	79
Hf	1658	134	317	265	255	95	403	470	73
Hg	1636	121	271	243	250	99	421	445	83
Hh	1651	126	295	255	247	77	399	434	79
hA	1311	118	199	235	228	88	377	404	65
hB	1630	108	270	240	240	92	390	477	70
hC	1640	107	244	232	255	95	425	471	76
hD	1409	104	197	225	227	89	383	429	60
hE	1482	106	260	210	235	89	389	395	70
hF	1577	107	253	249	242	98	408	450	74
xa	1120	101	170	182	190	77	307	331	58
xb	1150	100	179	225	195	78	330	360	60
xc	1360	119	224	250	212	85	362	387	70
xd	1111	99	187	201	175	73	285	335	53
xe	1304	112	225	274	200	91	352	353	66
xf	1249	107	190	261	195	84	333	370	63
xg	1325	96	192	202	187	97	348	379	66
xh	1210	107	205	230	193	79	320	349	60
xg	1215	98	218	230	185	79	322	352	61
xh	1235	95	201	243	187	76	315	365	60
