Agriculture: p. 460, Cahiers 1993 (4).
25 9 SUPNO 7 6 6  Bov	Prk	Ova	Lac	Fsh	Wht	Str	Nux	Vgt
AL	101	14	5	89	2	423	6	55	17
A	89	140	43	199	21	280	36	13	43
B	135	93	41	175	45	266	57	21	40
BG	78	60	16	83	12	567	11	37	42
CZ	97	114	28	125	20	343	50	11	40
DK	106	108	37	250	99	219	48	7	24
DDR	84	116	37	111	54	246	65	8	36
FIN	95	49	27	337	58	263	51	10	14
F	180	99	33	195	57	281	48	24	65
GR	102	30	28	176	59	417	22	78	65
H	53	124	29	97	3	401	40	54	42
IRL	139	100	47	258	22	240	62	16	29
I	90	51	29	137	34	368	21	43	67
NL	95	136	36	234	25	224	42	18	37
N	94	47	27	233	97	230	46	16	27
PL	69	102	27	193	30	361	59	20	66
P	62	37	11	49	142	270	59	47	79
ROM	62	63	15	111	10	496	31	53	28
E	71	34	31	86	70	292	57	59	72
S	99	78	35	247	75	195	37	14	20
CH	131	101	31	238	23	256	28	24	49
UK	174	57	47	206	43	243	47	34	33
CCCP	93	46	21	166	30	436	64	34	29
BRD	114	125	41	188	34	186	52	15	38
YU	44	50	12	95	6	559	30	57	32
