Egyptian skulls: p. 443, Cahiers, 1993 (4).
150 4 SUPNO 3 10 4	Br	Hh	Ba	Ns
a1	131	138	89	49
a2	125	131	92	48
a3	131	132	99	50
a4	119	132	96	44
a5	136	143	100	54
a6	138	137	89	56
a7	139	130	108	48
a8	125	136	93	48
a9	131	134	102	51
a10	134	134	99	51
a11	129	138	95	50
a12	134	121	95	53
a13	126	129	109	51
a14	132	136	100	50
a15	141	140	100	51
a16	131	134	97	54
a17	135	137	103	50
a18	132	133	93	53
a19	139	136	96	50
a20	132	131	101	49
a21	126	133	102	51
a22	135	135	103	47
a23	134	124	93	53
a24	128	134	103	50
a25	130	130	104	49
a26	138	135	100	55
a27	128	132	93	53
a28	127	129	106	48
a29	131	136	114	54
a30	124	138	101	46
b31	124	138	101	48
b32	133	134	97	48
b33	138	134	98	45
b34	148	129	104	51
b35	126	124	95	45
b36	135	136	98	52
b37	132	145	100	54
b38	133	130	102	48
b39	131	134	96	50
b40	133	125	94	46
b41	133	136	103	53
b42	131	139	98	51
b43	131	136	99	56
b44	138	134	98	49
b45	130	136	104	53
b46	131	128	98	45
b47	138	129	107	53
b48	123	131	101	51
b49	130	129	105	47
b50	134	130	93	54
b51	137	136	106	49
b52	126	131	100	48
b53	135	136	97	52
b54	129	126	91	50
b55	134	139	101	49
b56	131	134	90	53
b57	132	130	104	50
b58	130	132	93	52
b59	135	132	98	54
b60	130	128	101	51
c61	137	141	96	52
c62	129	133	93	47
c63	132	138	87	48
c64	130	134	106	50
c65	134	134	96	45
c66	140	133	98	50
c67	138	138	95	47
c68	136	145	99	55
c69	136	131	92	46
c70	126	136	95	56
c71	137	129	100	53
c72	137	139	97	50
c73	136	126	101	50
c74	137	133	90	49
c75	129	142	104	47
c76	135	138	102	55
c77	129	135	92	50
c78	134	125	90	60
c79	138	134	96	51
c80	136	135	94	53
c81	132	130	91	52
c82	133	131	100	50
c83	138	137	94	51
c84	130	127	99	45
c85	136	133	91	49
c86	134	123	95	52
c87	136	137	101	54
c88	133	131	96	49
c89	138	133	100	55
c90	138	133	91	46
d91	137	134	107	54
d92	141	128	95	53
d93	141	130	87	49
d94	135	131	99	51
d95	133	120	91	46
d96	131	135	90	50
d97	140	137	94	60
d98	139	130	90	48
d99	140	134	90	51
d100	138	140	100	52
d101	132	133	90	53
d102	134	134	97	54
d103	135	135	99	50
d104	133	136	95	52
d105	136	130	99	55
d106	134	137	93	52
d107	131	141	99	55
d108	129	135	95	47
d109	136	128	93	54
d110	131	125	88	48
d111	139	130	94	53
d112	144	124	86	50
d113	141	131	97	53
d114	130	131	98	53
d115	133	128	92	51
d116	138	126	97	54
d117	131	142	95	53
d118	136	138	94	55
d119	132	136	92	52
d120	135	130	100	51
e121	137	123	91	50
e122	136	131	95	49
e123	128	126	91	57
e124	130	134	92	52
e125	138	127	86	47
e126	126	138	101	52
e127	136	138	97	58
e128	126	126	92	45
e129	132	132	99	55
e130	139	135	92	54
e131	143	120	95	51
e132	141	136	101	54
e133	135	135	95	56
e134	137	134	93	53
e135	142	135	96	52
e136	139	134	95	47
e137	138	125	99	51
e138	137	135	96	54
e139	133	125	92	50
e140	145	129	89	47
e141	138	136	92	46
e142	131	129	97	44
e143	143	126	88	54
e144	134	124	91	55
e145	132	127	97	52
e146	137	125	85	57
e147	129	128	81	52
e148	140	135	103	48
e149	147	129	87	48
e150	136	133	97	51
