Sparrows - 1:21 survived, the remaining 28 died: p. 450, Cahiers 1993 (4).
49 5 SUPNO 7 7 3 X1	X2	X3	X4	X5
s1	1560	2450	316	185	205
s2	1540	2400	304	179	196
s3	1530	2400	310	184	206
s4	1530	2360	309	177	202
s5	1550	2430	315	186	203
s6	1630	2470	320	190	209
s7	1570	2380	309	184	202
s8	1550	2390	328	186	212
s9	1640	2480	327	191	211
s10	1580	2380	310	188	220
s11	1580	2400	313	186	220
s12	1600	2440	311	186	205
s13	1610	2460	323	193	218
s14	1570	2450	320	191	200
s15	1570	2350	315	181	198
s16	1560	2370	309	180	203
s17	1580	2440	314	185	216
s18	1530	2380	305	182	209
s19	1550	2360	303	185	201
s20	1630	2460	325	186	219
s21	1590	2360	315	180	215
s22	1550	2400	314	180	207
s23	1560	2400	315	182	206
s24	1600	2420	326	188	217
s25	1520	2320	303	172	198
s26	1600	2500	317	188	225
s27	1550	2370	310	185	200
s28	1570	2450	322	195	214
s29	1650	2450	331	198	227
s30	1530	2310	301	173	198
s31	1620	2390	303	180	231
s32	1620	2430	316	188	213
s33	1590	2450	318	185	217
s34	1590	2470	309	181	190
s35	1550	2430	309	185	213
s36	1620	2520	319	191	222
s37	1520	2300	304	173	186
s38	1590	2420	308	182	205
s39	1550	2380	312	179	193
s40	1630	2490	334	195	228
s41	1630	2420	310	181	207
s42	1560	2370	317	182	203
s43	1590	2380	315	184	203
s44	1610	2450	321	191	208
s45	1550	2350	307	177	196
s46	1620	2470	319	191	204
s47	1530	2370	306	186	204
s48	1620	2450	325	185	211
s49	1640	2480	323	188	209
